"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2019","16,615.59","16,615.59","16,615.59","16,615.59","-","0.72%"
"May 29, 2019","16,497.62","16,497.62","16,497.62","16,497.62","-","-0.57%"
"May 28, 2019","16,591.70","16,591.70","16,591.70","16,591.70","-","0.04%"
"May 27, 2019","16,585.13","16,585.13","16,585.13","16,585.13","-","0.68%"
"May 24, 2019","16,472.95","16,472.95","16,472.95","16,472.95","-","1.60%"
"May 23, 2019","16,212.78","16,212.78","16,212.78","16,212.78","-","-0.69%"
"May 22, 2019","16,325.28","16,325.28","16,325.28","16,325.28","-","0.35%"
"May 21, 2019","16,268.26","16,268.26","16,268.26","16,268.26","-","-1.01%"
"May 20, 2019","16,433.77","16,433.77","16,433.77","16,433.77","-","3.69%"
"May 17, 2019","15,848.71","15,848.71","15,848.71","15,848.71","-","1.33%"
"May 16, 2019","15,640.22","15,640.22","15,640.22","15,640.22","-","0.90%"
"May 15, 2019","15,500.82","15,500.82","15,500.82","15,500.82","-","-0.58%"
"May 14, 2019","15,591.19","15,591.19","15,591.19","15,591.19","-","0.66%"
"May 13, 2019","15,488.60","15,488.60","15,488.60","15,488.60","-","-1.16%"
"May 10, 2019","15,670.18","15,670.18","15,670.18","15,670.18","-","-0.20%"
"May 09, 2019","15,701.95","15,701.95","15,701.95","15,701.95","-","-0.51%"
"May 08, 2019","15,782.09","15,782.09","15,782.09","15,782.09","-","-1.20%"
"May 07, 2019","15,974.41","15,974.41","15,974.41","15,974.41","-","-0.84%"
"May 06, 2019","16,110.44","16,110.44","16,110.44","16,110.44","-","-0.97%"
"May 03, 2019","16,268.79","16,268.79","16,268.79","16,268.79","-","-0.11%"
"May 02, 2019","16,286.18","16,286.18","16,286.18","16,286.18","-","-0.20%"
"Apr 30, 2019","16,318.66","16,318.66","16,318.66","16,318.66","-","-0.06%"
"Apr 26, 2019","16,327.70","16,327.70","16,327.70","16,327.70","-","0.97%"
"Apr 25, 2019","16,170.98","16,170.98","16,170.98","16,170.98","-","-0.72%"
"Apr 24, 2019","16,288.16","16,288.16","16,288.16","16,288.16","-","1.30%"
"Apr 23, 2019","16,079.51","16,079.51","16,079.51","16,079.51","-","-0.16%"
"Apr 22, 2019","16,105.19","16,105.19","16,105.19","16,105.19","-","-1.35%"
"Apr 18, 2019","16,325.13","16,325.13","16,325.13","16,325.13","-","-0.29%"
"Apr 16, 2019","16,372.86","16,372.86","16,372.86","16,372.86","-","0.83%"
"Apr 15, 2019","16,238.41","16,238.41","16,238.41","16,238.41","-","0.40%"
"Apr 12, 2019","16,173.27","16,173.27","16,173.27","16,173.27","-","0.40%"
"Apr 11, 2019","16,108.32","16,108.32","16,108.32","16,108.32","-","0.11%"
"Apr 10, 2019","16,091.08","16,091.08","16,091.08","16,091.08","-","-0.75%"
"Apr 09, 2019","16,212.81","16,212.81","16,212.81","16,212.81","-","0.58%"
"Apr 08, 2019","16,119.14","16,119.14","16,119.14","16,119.14","-","-0.53%"
"Apr 05, 2019","16,204.48","16,204.48","16,204.48","16,204.48","-","0.59%"
"Apr 04, 2019","16,110.09","16,110.09","16,110.09","16,110.09","-","-0.39%"
"Apr 03, 2019","16,173.92","16,173.92","16,173.92","16,173.92","-","-0.59%"
"Apr 02, 2019","16,270.13","16,270.13","16,270.13","16,270.13","-","0.38%"
"Apr 01, 2019","16,208.94","16,208.94","16,208.94","16,208.94","-","0.39%"
"Mar 29, 2019","16,146.11","16,146.11","16,146.11","16,146.11","-","0.47%"
"Mar 28, 2019","16,071.26","16,071.26","16,071.26","16,071.26","-","1.09%"
"Mar 27, 2019","15,897.65","15,897.65","15,897.65","15,897.65","-","-0.32%"
"Mar 26, 2019","15,949.46","15,949.46","15,949.46","15,949.46","-","1.14%"
"Mar 25, 2019","15,770.26","15,770.26","15,770.26","15,770.26","-","-0.90%"
"Mar 22, 2019","15,912.88","15,912.88","15,912.88","15,912.88","-","-0.54%"
"Mar 20, 2019","15,998.51","15,998.51","15,998.51","15,998.51","-","-0.10%"
"Mar 19, 2019","16,014.33","16,014.33","16,014.33","16,014.33","-","0.61%"
"Mar 18, 2019","15,916.80","15,916.80","15,916.80","15,916.80","-","0.31%"
"Mar 15, 2019","15,867.74","15,867.74","15,867.74","15,867.74","-","0.75%"
"Mar 14, 2019","15,749.67","15,749.67","15,749.67","15,749.67","-","0.04%"
"Mar 13, 2019","15,742.86","15,742.86","15,742.86","15,742.86","-","0.37%"
"Mar 12, 2019","15,685.41","15,685.41","15,685.41","15,685.41","-","1.19%"
"Mar 11, 2019","15,500.61","15,500.61","15,500.61","15,500.61","-","1.20%"
"Mar 08, 2019","15,316.51","15,316.51","15,316.51","15,316.51","-","-0.21%"
"Mar 07, 2019","15,348.14","15,348.14","15,348.14","15,348.14","-","0.05%"
"Mar 06, 2019","15,340.93","15,340.93","15,340.93","15,340.93","-","0.60%"
"Mar 05, 2019","15,249.97","15,249.97","15,249.97","15,249.97","-","1.14%"
"Mar 01, 2019","15,077.91","15,077.91","15,077.91","15,077.91","-","0.66%"
"Feb 28, 2019","14,979.39","14,979.39","14,979.39","14,979.39","-","-0.09%"
"Feb 27, 2019","14,993.45","14,993.45","14,993.45","14,993.45","-","-0.26%"
"Feb 26, 2019","15,033.15","15,033.15","15,033.15","15,033.15","-","-0.41%"
"Feb 25, 2019","15,095.33","15,095.33","15,095.33","15,095.33","-","0.82%"
"Feb 22, 2019","14,972.58","14,972.58","14,972.58","14,972.58","-","0.02%"
"Feb 21, 2019","14,970.12","14,970.12","14,970.12","14,970.12","-","0.53%"
"Feb 20, 2019","14,891.60","14,891.60","14,891.60","14,891.60","-","1.24%"
"Feb 19, 2019","14,709.75","14,709.75","14,709.75","14,709.75","-","-0.34%"
"Feb 18, 2019","14,760.48","14,760.48","14,760.48","14,760.48","-","-0.78%"
